ARCP IN Equity,price,volume,mc,pe,bm,div
2006-09-30,93.66,4087535.0,21458.3529,34.2808,11.3821,0.5
2006-10-31,111.25,3589970.0,25489.6158,40.7209,13.5203,0.5
2006-11-30,148.23,2014495.0,33962.979,54.2576,18.0148,0.5
2006-12-31,153.65,2322725.0,35204.34,56.2407,18.6733,0.5
2007-01-31,146.78,1007690.0,33630.5167,53.7264,17.8385,0.5
2007-02-28,140.02,2259985.0,32080.7117,51.2506,17.0164,0.5
2007-03-31,123.12,2103180.0,28209.9914,20.2127,2.5285,0.5
2007-04-30,130.85,3924465.0,29981.0166,21.4817,2.6872,0.5
2007-05-31,138.02,2042625.0,42883.3009,22.6583,2.8344,0.5
2007-06-30,134.75,491055.0,41866.7596,22.1212,2.7672,0.5
2007-07-31,137.99,2398975.0,44750.5547,22.6537,2.8338,0.5
2007-08-31,127.17,1073985.0,47650.1139,20.8776,2.6117,1.2
2007-09-30,166.65,2152885.0,64712.7008,27.3582,3.4223,1.2
2007-10-31,201.66,1859996.0,78306.5457,33.1052,4.1412,1.2
2007-11-30,196.5,1072112.0,76303.355,32.2583,4.0353,1.2
2007-12-31,192.69,2283522.0,84441.1423,31.6334,3.9571,1.2
2008-01-31,194.87,6886352.0,85396.3453,31.9911,4.0019,1.2
2008-02-29,175.81,2558715.0,87613.5507,28.8618,3.6104,1.2
2008-03-31,125.49,1302859.0,67119.6565,21.2625,1.2739,1.2
2008-04-30,155.92,2050618.0,83394.1319,21.2625,1.5828,1.2
2008-05-31,112.52,542612.0,60184.8309,21.2625,1.1423,1.2
2008-06-30,75.97,1564770.0,40634.7203,21.2625,0.7712,1.2
2008-07-31,76.94,2970516.0,41151.1384,21.2625,0.781,1.5
2008-08-31,83.83,1223664.0,44839.8385,21.2625,0.8511,1.5
2008-09-30,62.46,17049702.0,33404.8681,21.2625,0.634,1.5
2008-10-31,25.35,2577599.0,13559.6616,21.2625,0.2574,1.5
2008-11-30,23.86,1230319.0,12762.9024,21.2625,0.2422,1.5
2008-12-31,48.5,4029766.0,25938.9391,21.2625,0.4923,1.5
2009-01-31,28.52,1780988.0,15256.4636,21.2625,0.2896,1.5
2009-02-28,24.83,435205.0,13279.3204,21.2625,0.252,1.5
2009-03-31,22.26,12801215.0,11907.1239,3.1803,0.1976,1.5
2009-04-30,45.05,33010292.0,24094.5891,6.4355,0.3999,1.5
2009-05-31,69.68,3659420.0,37270.6258,9.9547,0.6186,1.5
2009-06-30,54.46,12412923.0,29125.976,7.7793,0.4834,1.5
2009-07-31,71.5,17573313.0,38244.4427,10.2148,0.6348,1.5
2009-08-31,81.1,18279668.0,43379.1132,11.5862,0.72,0.6
2009-09-30,84.63,11964682.0,45267.7277,12.0906,0.7514,0.6
2009-10-31,72.3,46464730.0,38672.3319,10.3291,0.6419,0.6
2009-11-30,71.7,23149582.0,38347.7263,10.2424,0.6365,0.6
2009-12-31,73.63,16788840.0,39380.5623,10.5182,0.6537,0.6
2010-01-31,74.59,18093775.0,39896.9803,10.6562,0.6622,0.6
2010-02-28,67.81,8007183.0,36267.2994,9.6867,0.602,0.6
2010-03-31,73.41,9235241.0,39262.5239,9.0963,0.6026,0.6
2010-04-30,70.21,7662850.0,37550.9671,8.6997,0.5763,0.6
2010-05-31,58.76,9279084.0,31427.7249,7.2811,0.4823,0.6
2010-06-30,64.55,19589840.0,34526.233,7.999,0.5299,0.6
2010-07-31,66.26,7614278.0,35441.0306,8.2109,0.5439,0.6
2010-08-31,70.21,36147443.0,37550.9671,8.6997,0.5763,0.6
2010-09-30,77.66,15864542.0,41534.7632,9.6227,0.6374,0.6
2010-10-31,71.48,19048138.0,38229.6879,8.857,0.5867,0.6
2010-11-30,61.35,11635117.0,32814.6761,7.6024,0.5036,0.6
2010-12-31,59.14,11136086.0,31634.2921,7.329,0.4855,0.6
2011-01-31,55.67,13705969.0,29775.1872,6.8983,0.457,0.6
2011-02-28,41.71,36345289.0,22309.2582,5.1686,0.3424,0.6
2011-03-31,46.21,11702396.0,24714.2907,8.1065,0.3659,0.6
2011-04-30,48.47,5200698.0,25924.1843,8.5033,0.3838,0.6
2011-05-31,37.93,11426746.0,20287.8506,6.6546,0.3004,0.6
2011-06-30,35.12,12820962.0,18782.8609,6.1609,0.2781,0.6
2011-07-31,45.08,21855759.0,24109.3439,7.908,0.357,0.6
2011-08-31,36.03,7748532.0,19269.7693,6.3206,0.2853,0.6
2011-09-30,31.78,7387770.0,16997.5301,5.5753,0.2517,0.6
2011-10-31,29.9,13021853.0,15994.2036,5.2462,0.2368,0.6
2011-11-30,25.02,9034639.0,13382.604,4.3896,0.1981,0.6
2011-12-31,21.88,16312900.0,11700.5567,3.8379,0.1732,0.6
2012-01-31,33.57,16053178.0,17956.5921,5.8899,0.2659,0.6
2012-02-29,36.3,20267241.0,19417.3173,6.369,0.2875,0.6
2012-03-31,32.28,9260832.0,17263.1343,7.9757,0.2485,0.6
2012-04-30,32.06,6669030.0,17145.0958,7.9212,0.2468,0.6
2012-05-31,25.43,5463418.0,13603.9401,6.2851,0.1959,0.6
2012-06-30,26.48,10034312.0,14164.623,6.5442,0.2039,0.6
2012-07-31,26.21,24534831.0,14017.0749,6.476,0.2018,0.6
2012-08-31,24.72,8288895.0,13220.3148,6.1079,0.1903,0.6
2012-09-30,39.45,37418599.0,21099.3864,9.7481,0.3038,0.4
2012-10-31,44.86,76312803.0,23991.3303,11.0842,0.3454,0.4
2012-11-30,54.54,87354407.0,29170.2706,13.4769,0.42,0.4
2012-12-31,49.6,42228108.0,26529.1586,12.2567,0.3819,0.4
2013-01-31,45.02,42761084.0,24079.8592,11.1251,0.3467,0.4
2013-02-28,34.34,32891502.0,18369.7455,8.487,0.2645,0.4
2013-03-31,34.65,32241259.0,18532.0485,9.5279,0.261,0.4
2013-04-30,36.55,26037343.0,19550.1308,10.0513,0.2753,0.4
2013-05-31,35.81,36038916.0,19151.7507,9.8465,0.2697,0.4
2013-06-30,29.1,13744540.0,15566.3321,8.0031,0.2192,0.4
2013-07-31,27.14,26520467.0,14518.7401,7.4645,0.2045,0.4
2013-08-31,24.08,10674701.0,12880.9554,6.6225,0.1814,0.4
2013-09-30,22.7,10137027.0,12143.2146,6.2432,0.171,0.4
2013-10-31,30.4,26430948.0,16259.8086,8.3596,0.229,0.0
2013-11-30,26.48,27032324.0,14164.6245,7.2824,0.1995,0.0
2013-12-31,34.54,62527880.0,18473.0311,9.4975,0.2602,0.0
2014-01-31,28.0,42688849.0,14976.1395,7.6997,0.2109,0.0
2014-02-28,28.28,26012555.0,15123.6876,7.7755,0.213,0.0
2014-03-31,31.42,37006307.0,16805.7368,9.1825,0.2316,0.0
2014-04-30,30.46,39671774.0,16289.3182,8.9004,0.2245,0.0
2014-05-31,36.3,49065970.0,19417.3394,10.6095,0.2676,0.0
2014-06-30,41.57,67342326.0,22235.5095,12.1493,0.3065,0.0
2014-07-31,34.62,36197027.0,18517.2956,10.1177,0.2552,0.0
2014-08-31,30.4,22315488.0,16259.8086,8.8842,0.2241,0.0
2014-09-30,30.46,29422680.0,16289.3182,8.9004,0.2245,0.24
2014-10-31,29.66,14274831.0,15861.4285,8.6666,0.2186,0.24
2014-11-30,28.63,34734139.0,15315.5003,8.3683,0.2111,0.24
2014-12-31,25.85,23244351.0,13825.2637,7.554,0.1906,0.24
2015-01-31,27.67,43397428.0,14799.0817,8.0861,0.204,0.24
2015-02-28,25.54,29137843.0,13662.9452,7.4653,0.1883,0.24
2015-03-31,22.01,18954483.0,11774.3441,4.5626,0.1571,0.24
2015-04-30,21.38,18581484.0,11434.9833,4.4311,0.1526,0.24
2015-05-31,20.36,8361086.0,10889.0551,4.2196,0.1453,0.24
2015-06-30,22.98,21774050.0,12290.7627,4.7627,0.164,0.24
2015-07-31,22.84,30061288.0,12216.9886,4.7341,0.1631,0.24
2015-08-31,18.46,42213410.0,9870.9727,3.825,0.1317,0.24
2015-09-30,19.86,21221785.0,10623.4684,4.1166,0.1418,0.24
2015-10-31,20.88,16560219.0,11169.3966,4.3282,0.1491,0.24
2015-11-30,20.17,12791700.0,10785.7714,4.1795,0.144,0.24
2015-12-31,23.06,21082356.0,12335.0272,4.7799,0.1646,0.24
2016-01-31,20.91,20895092.0,11184.1514,4.3339,0.1493,0.24
2016-02-29,15.75,12047461.0,8425.0006,3.2647,0.1124,0.24
2016-03-31,18.21,10562118.0,9738.1794,7.7476,0.1305,0.24
2016-04-30,20.52,14010742.0,10977.584,8.7337,0.1471,0.24
2016-05-31,21.93,33841265.0,11730.0797,9.3324,0.1572,0.24
2016-06-30,26.95,61441144.0,14415.4564,11.4688,0.1932,0.24
2016-07-31,31.45,90726784.0,16820.4916,13.3822,0.2255,0.24
2016-08-31,31.78,35615623.0,16997.5494,13.5231,0.2278,0.24
2016-09-30,30.59,36276054.0,16363.0923,13.0183,0.2193,0.24
2016-10-31,30.43,19174182.0,16274.5634,12.9479,0.2181,0.24
2016-11-30,22.68,18808864.0,12128.4597,9.6493,0.1626,0.24
2016-12-31,21.79,10790431.0,11656.3056,9.2737,0.1562,0.24
2017-01-31,23.75,10991841.0,12703.8976,10.1071,0.1703,0.24
2017-02-28,25.27,21663479.0,13515.4126,10.7527,0.1812,0.24
2017-03-31,26.34,24498286.0,14090.8504,10.0553,0.1831,0.24
2017-04-30,33.93,62769604.0,18148.4252,12.9508,0.2359,0.24
2017-05-31,34.51,52717955.0,18458.2763,13.1719,0.2399,0.24
2017-06-30,31.78,27185334.0,16997.5494,12.1295,0.2209,0.24
2017-07-31,35.01,58996270.0,18723.863,13.3614,0.2433,0.24
2017-08-31,30.9,24266178.0,16525.3953,11.7926,0.2148,0.24
2017-09-30,30.34,43476208.0,16230.2989,11.582,0.2109,0.24
2017-10-31,33.24,30866370.0,17779.5547,12.6875,0.2311,0.24
2017-11-30,33.99,62887643.0,18177.9344,12.9718,0.2362,0.24
2017-12-31,39.56,82419335.0,21158.4074,15.0987,0.275,0.24
2018-01-31,36.8,91454883.0,19682.9257,14.0458,0.2558,0.24
2018-02-28,30.81,29652605.0,16481.1303,11.761,0.2142,0.24
2018-03-31,25.71,23235670.0,13751.4892,11.1784,0.1812,0.24
2018-04-30,26.04,25679635.0,13928.547,11.3223,0.1836,0.24
2018-05-31,23.03,16204079.0,12320.272,10.015,0.1624,0.24
2018-06-30,21.71,17489316.0,11612.0408,9.4393,0.153,0.24
2018-07-31,24.33,11641644.0,13013.7484,10.5787,0.1715,0.24
2018-08-31,27.39,23436062.0,14651.533,11.91,0.1931,0.24
2018-09-30,20.61,19956169.0,11021.8481,8.9595,0.1452,0.24
2018-10-31,19.75,12685185.0,10564.4488,8.5877,0.1392,0.24
2018-11-30,18.65,8679019.0,9974.2561,8.1079,0.1314,0.24
2018-12-31,20.06,9533639.0,10726.7518,8.7196,0.1414,0.24
2019-01-31,18.43,9129284.0,9856.2176,8.012,0.1299,0.24
2019-02-28,17.32,9474239.0,9266.0249,7.5322,0.1221,0.24
2019-03-31,18.54,12006170.0,9915.2369,12.7848,0.2187,0.24
2019-04-30,16.69,6700639.0,8926.6641,11.5101,0.1969,0.24
2019-05-31,18.68,8323694.0,9989.0109,12.8799,0.2204,0.24
2019-06-30,16.41,4375585.0,8779.116,11.3199,0.1937,0.24
2019-07-31,14.92,6277062.0,7982.3559,10.2925,0.1761,0.24
2019-08-31,17.27,5162805.0,9236.5153,11.9096,0.2038,0.24
2019-09-30,18.68,7648565.0,9989.0109,12.8799,0.2204,0.24
2019-10-31,17.6,3674529.0,9413.5731,12.1379,0.2077,0.24
2019-11-30,18.59,5604759.0,9944.7465,12.8228,0.2194,0.24
2019-12-31,18.76,5486243.0,10033.2754,12.937,0.2213,0.24
2020-01-31,20.0,14915194.0,10697.2421,13.7931,0.236,0.24
2020-02-29,15.37,4837054.0,8218.4329,10.5969,0.1813,0.24
2020-03-31,10.92,7458892.0,5842.9074,11.1471,0.1297,0.24
2020-04-30,9.3,2885522.0,4972.3732,9.4863,0.1104,0.24
2020-05-31,8.28,2341119.0,4426.445,8.4448,0.0983,0.24
2020-06-30,12.5,10758424.0,6683.932,12.7516,0.1484,0.24
2020-07-31,11.81,4514963.0,6315.0616,12.0479,0.1402,0.24
2020-08-31,16.97,13171808.0,9074.2123,17.3117,0.2014,0.24
2020-09-30,17.1,6628903.0,9147.9864,17.4525,0.2031,0.24
2020-10-31,18.1,7716222.0,5341.2437,18.4694,0.2149,0.24
2020-11-30,26.4,16604416.0,7790.5433,26.9388,0.3135,0.0
2020-12-31,27.1,22374984.0,7997.1108,27.6531,0.3218,0.08
2021-01-31,41.0,38526927.0,12098.9499,41.8367,0.4868,0.08
2021-02-28,49.55,18438250.0,14622.0235,50.5612,0.5883,0.08
2021-03-31,54.35,22372467.0,16038.486,126.3953,0.6417,0.08
2021-04-30,52.8,10097412.0,15581.0866,122.7907,0.6234,0.08
2021-05-31,60.1,18875433.0,17735.2899,139.7674,0.7096,0.08
2021-06-30,59.75,13854706.0,17632.0062,138.9535,0.7054,0.08
2021-07-31,64.85,9070685.0,19136.9973,150.814,0.7656,0.08
2021-08-31,64.55,9281917.0,19048.4684,150.1163,0.7621,0.08
2021-09-30,75.9,16603674.0,22397.8118,176.5116,0.8961,0.1
2021-10-31,61.2,8888456.0,18059.8957,142.3256,0.7225,0.1
2021-11-30,65.15,11046736.0,19225.5262,151.5116,0.7692,0.1
2021-12-31,77.35,21842614.0,22825.7015,179.8837,0.9132,0.1
2022-01-31,81.55,22467963.0,24065.1061,189.6512,0.9628,0.1
2022-02-28,73.2,18808447.0,21601.0517,170.2326,0.8642,0.1
2022-03-31,65.9,12985534.0,19446.8485,34.3229,0.737,0.1
2022-04-30,63.05,20912557.0,18605.8239,32.8385,0.7051,0.1
2022-05-31,53.65,24533749.0,15831.9184,27.9427,0.6,0.1
2022-06-30,51.05,10090268.0,15064.6679,26.5885,0.5709,0.1
2022-07-31,73.9,37061593.0,21807.6192,38.4896,0.8265,0.12
2022-08-31,87.2,51154328.0,25732.4004,45.4167,0.9752,0.12
2022-09-30,97.05,65124513.0,31453.5493,50.5469,1.0854,0.12
2022-10-31,113.75,75663098.0,36865.9581,59.2448,1.2721,0.12
2022-11-30,101.45,48713785.0,32879.5732,52.8385,1.1346,0.12
2022-12-31,112.1,89676854.0,36331.1992,58.3854,1.2537,0.12
2023-01-31,111.45,61052477.0,36120.5365,58.0469,1.2464,0.12
2023-02-28,104.75,30928589.0,33949.0911,54.5573,1.1715,0.12
2023-03-31,122.15,44407324.0,39588.3673,25.8245,1.4015,0.12
2023-04-30,141.6,32926202.0,45892.041,29.9366,1.6247,0.12
2023-05-31,152.05,22556058.0,49278.8477,32.1459,1.7446,0.12
2023-06-30,177.35,38851404.0,57478.485,37.4947,2.0349,0.5
2023-07-31,201.65,22648135.0,65354.026,42.6321,2.3137,0.5
2023-08-31,219.5,30508542.0,71139.1455,46.4059,2.5185,0.5
2023-09-30,219.6,29875194.0,71171.5552,46.4271,2.5197,0.5
2023-10-31,242.9,37749628.0,78722.9998,51.3531,2.787,0.5
2023-11-30,268.35,22942639.0,86971.2515,56.7336,3.079,0.5
2023-12-31,295.1,37260365.0,95640.8285,62.389,3.386,0.5
2024-01-31,318.1,38145654.0,108468.3547,67.2516,3.6499,0.5
2024-02-29,350.0,49103649.0,119345.8791,73.9958,4.0159,0.5
2024-03-31,311.35,31172468.0,106166.6842,39.1143,2.9117,0.5
2024-04-30,362.9,43055618.0,124072.1543,45.5905,3.3938,0.5
2024-05-31,385.5,43396484.0,131798.8853,48.4296,3.6052,0.5
2024-06-30,429.7,33718012.0,146910.4566,53.9824,4.0185,0.5
2024-07-31,555.1,53897251.0,189783.557,69.7362,5.1913,0.73
2024-08-31,595.9,39376778.0,203732.6997,74.8618,5.5728,0.73
2024-09-30,704.4,43155263.0,240827.8464,88.4925,6.5875,0.73
2024-10-31,740.8,28983636.0,253272.6698,93.0653,6.9279,0.73
2024-11-30,673.45,17008236.0,230246.3276,84.6043,6.2981,0.73
2024-12-31,855.35,34143173.0,292436.2556,107.456,7.9992,0.73
2025-01-31,598.3,78682861.0,204553.2375,75.1633,5.5953,0.73
2025-02-28,463.25,54808040.0,158380.8913,58.1972,4.3323,0.73
2025-03-31,491.6,48279976.0,168073.4942,39.5495,4.0563,0.73
2025-04-30,451.9,61012653.0,154500.4313,36.3556,3.7287,0.73
2025-05-31,561.2,58945242.0,192637.8577,45.1488,4.6305,0.73
2025-06-30,566.45,59519214.0,194439.9759,45.5712,4.6738,0.73
2025-07-31,564.6,74839198.0,193804.9438,45.4224,4.6586,0.73
2025-08-31,516.35,20724275.0,177242.6191,41.5406,4.2605,0.73
2025-09-30,698.15,200336908.0,239647.3991,56.1665,5.7605,0.73
2025-10-31,644.4,109673813.0,231904.6937,51.8423,5.317,0.73
2025-11-30,576.45,47154821.0,207451.0563,46.3757,4.7564,0.73
2025-12-31,547.3,70744896.0,196960.6438,44.0306,4.5158,0.73
2026-01-31,504.3,55253898.0,181485.9358,40.5712,4.161,0.73
2026-02-28,529.8,129406693.0,190662.7975,42.6227,4.3714,0.73
2026-03-31,494.45,7427752.0,177941.1524,39.7788,4.0798,0.73
