BSOFT IN Equity,price,volume,mc,pe,bm,div
2001-01-31,2.03,1636320.0,335.634,,,0.0
2001-02-28,1.55,825400.0,256.8891,,,0.0
2001-03-31,0.89,1545400.0,147.1626,,,0.0
2001-04-30,0.74,1226680.0,122.8937,,,0.0
2001-05-31,0.93,974700.0,154.908,,,0.0
2001-06-30,0.74,381620.0,122.6355,,,0.0
2001-07-31,0.59,263620.0,98.1084,,,0.0
2001-08-31,0.55,234000.0,91.3957,,,0.0
2001-09-30,0.53,149840.0,88.2976,,,0.0375
2001-10-31,0.55,429980.0,91.6539,,,0.0375
2001-11-30,1.05,4333940.0,174.7879,,,0.0375
2001-12-31,1.42,2349740.0,235.4602,,,0.0375
2002-01-31,2.93,28234840.0,485.6554,,,0.0375
2002-02-28,2.22,10988660.0,368.4371,,,0.0375
2002-03-31,3.8,98432320.0,629.9836,35146.21,2.7586,0.0375
2002-04-30,6.17,262812100.0,1022.9487,57069.3786,4.4793,0.0375
2002-05-31,5.79,140512060.0,960.2086,53569.1618,4.2046,0.0375
2002-06-30,5.39,87403520.0,893.5955,49852.8822,3.9129,0.0375
2002-07-31,2.45,37515460.0,406.1329,22657.7821,1.7784,0.0375
2002-08-31,3.9,165031920.0,645.7332,36024.8652,2.8275,0.0375
2002-09-30,4.51,316243100.0,746.9436,41671.3055,3.2707,0.025
2002-10-31,4.71,408273120.0,780.7665,43558.2537,3.4188,0.025
2002-11-30,5.32,87204280.0,882.4934,49233.5023,3.8643,0.025
2002-12-31,5.33,144391060.0,883.2679,49276.7149,3.8677,0.025
2003-01-31,5.27,263983180.0,872.6822,48686.1433,3.8213,0.025
2003-02-28,5.88,257187280.0,975.1836,54404.6045,4.2701,0.025
2003-03-31,4.37,181095500.0,723.7065,8.9288,2.703,0.025
2003-04-30,4.29,93248520.0,711.3134,8.7759,2.6567,0.025
2003-05-31,4.22,49018800.0,698.9203,8.6229,2.6104,0.025
2003-06-30,4.91,29189820.0,813.0403,10.0309,3.0366,0.025
2003-07-31,5.47,57120220.0,906.505,11.184,3.3857,0.0875
2003-08-31,6.9,63469200.0,1143.5235,14.1083,4.271,0.0875
2003-09-30,7.9,97389300.0,1309.5396,16.1565,4.891,0.0875
2003-10-31,7.75,76092500.0,1940.8888,15.8507,4.7984,0.0875
2003-11-30,7.76,25202720.0,1943.6192,15.873,4.8052,0.0875
2003-12-31,10.02,37173540.0,2508.4116,20.4855,6.2015,0.0875
2004-01-31,8.15,6552340.0,2039.5715,16.6566,5.0424,0.0875
2004-02-29,7.82,3471140.0,1958.8311,15.9972,4.8428,0.0875
2004-03-31,6.49,6835520.0,1625.7284,5.2831,2.6864,0.0875
2004-04-30,9.76,9719360.0,2442.4931,7.9373,4.0361,0.0875
2004-05-31,9.83,17050980.0,2461.6056,7.9994,4.0677,0.0875
2004-06-30,10.09,5305420.0,2526.3539,8.2098,4.1747,0.0875
2004-07-31,12.2,12426120.0,2361.3714,9.9248,5.0467,0.1
2004-08-31,12.4,4019240.0,2401.4815,10.0933,5.1324,0.1
2004-09-30,14.33,5828820.0,2774.536,11.6613,5.9297,0.1
2004-10-31,15.02,3659220.0,2944.6667,12.2215,6.2146,0.1
2004-11-30,17.48,3620860.0,3427.5041,14.2255,7.2336,0.1
2004-12-31,20.18,6092380.0,3955.8461,16.4183,8.3487,0.1
2005-01-31,20.04,9389880.0,3929.5817,16.3093,8.2933,0.1
2005-02-28,20.26,5336340.0,3971.7269,16.4842,8.3822,0.1
2005-03-31,19.94,12112200.0,3909.8589,9.0061,2.6476,0.1
2005-04-30,20.12,6802710.0,3944.6756,9.0863,2.6712,0.1
2005-05-31,23.26,5548450.0,4834.0858,10.5046,3.0881,0.1
2005-06-30,22.49,9144980.0,4673.5107,10.1556,2.9855,0.1
2005-07-31,18.04,9295780.0,3749.5567,8.1479,2.3953,0.175
2005-08-31,18.37,5384270.0,3817.5421,8.2956,2.4387,0.175
2005-09-30,17.18,12168890.0,3883.7981,7.7567,2.2803,0.175
2005-10-31,17.86,10486690.0,4039.4882,8.0677,2.3717,0.175
2005-11-30,21.63,25833800.0,4890.5,9.7673,2.8714,0.175
2005-12-31,23.43,8021190.0,5412.896,10.5805,3.1105,0.175
2006-01-31,20.96,4967380.0,4844.3344,9.4634,2.782,0.175
2006-02-28,20.85,4212620.0,4821.8872,9.4156,2.768,0.175
2006-03-31,24.49,11393450.0,5663.4837,10.7822,2.5155,0.175
2006-04-30,27.78,8075110.0,6375.3822,12.2321,2.8538,0.175
2006-05-31,26.99,6033770.0,6241.3608,11.8823,2.7722,0.175
2006-06-30,25.75,2848580.0,5955.3045,11.3377,2.6452,0.175
2006-07-31,24.3,3661810.0,5619.5305,10.6985,2.496,0.175
2006-08-31,22.79,3392670.0,5438.9829,10.0332,2.3408,0.175
2006-09-30,26.2,6450350.0,6253.2687,11.5353,2.6913,0.175
2006-10-31,32.91,13352470.0,7854.3256,14.4887,3.3803,0.175
2006-11-30,37.39,34808010.0,8925.1672,16.464,3.8412,0.175
2006-12-31,43.12,13345670.0,10291.9775,18.9854,4.4294,0.175
2007-01-31,47.76,65070498.0,11415.3307,21.0293,4.9063,0.175
2007-02-28,43.46,54704614.0,10398.0087,19.1363,4.4646,0.175
2007-03-31,40.86,44146220.0,9775.6189,11.9596,3.0702,0.175
2007-04-30,42.25,22484064.0,10139.6123,12.3654,3.1744,0.175
2007-05-31,42.92,16868622.0,10300.3805,12.5615,3.2248,0.175
2007-06-30,43.23,17713410.0,10375.1564,12.6527,3.2482,0.35
2007-07-31,38.85,9707002.0,9508.0506,11.3715,2.9193,0.35
2007-08-31,36.72,4487598.0,8989.0791,10.7468,2.7589,0.35
2007-09-30,37.36,12568786.0,9145.4925,10.9338,2.8069,0.35
2007-10-31,33.63,7637408.0,8238.431,9.844,2.5271,0.35
2007-11-30,39.69,16692436.0,9722.786,11.6177,2.9825,0.35
2007-12-31,41.66,43546122.0,10203.5831,12.1922,3.1299,0.35
2008-01-31,26.39,17846492.0,6592.0318,7.7238,1.9828,0.35
2008-02-29,26.11,9152066.0,6526.5867,7.6418,1.9618,0.35
2008-03-31,24.43,14290508.0,6106.0191,7.1423,1.4423,0.35
2008-04-30,28.63,32740712.0,7157.448,8.3721,1.6907,0.35
2008-05-31,23.85,18888976.0,5961.9439,6.9737,1.4083,0.35
2008-06-30,18.2,11892658.0,4548.3674,5.3202,1.0744,0.35
2008-07-31,18.66,15778212.0,4674.3566,5.4569,1.102,0.35
2008-08-31,17.99,27923420.0,4506.9832,5.261,1.0624,0.35
2008-09-30,10.97,9750350.0,2747.1136,3.2067,0.6476,0.35
2008-10-31,9.02,11500456.0,2259.3448,2.6373,0.5326,0.35
2008-11-30,6.79,4560626.0,1701.3374,1.986,0.4011,0.35
2008-12-31,8.4,5005468.0,2103.2588,2.4551,0.4958,0.35
2009-01-31,6.95,4464544.0,1740.3589,2.0315,0.4103,0.35
2009-02-28,6.68,8134388.0,1674.0223,1.9541,0.3946,0.35
2009-03-31,7.98,10445518.0,1997.9008,1.89,0.7635,0.35
2009-04-30,14.0,16628530.0,3508.0328,3.3187,1.3406,0.35
2009-05-31,15.94,16128428.0,3991.8994,3.7764,1.5255,0.35
2009-06-30,15.3,11267408.0,3831.9113,3.6251,1.4644,0.35
2009-07-31,16.56,10141966.0,4147.9854,3.9241,1.5851,0.3
2009-08-31,26.42,30197656.0,6618.0463,6.2608,2.5291,0.3
2009-09-30,24.36,16515804.0,6103.3533,5.7735,2.3322,0.3
2009-10-31,24.74,25109312.0,6197.0109,5.8621,2.368,0.3
2009-11-30,36.81,70329924.0,9221.9621,8.723,3.5237,0.3
2009-12-31,39.79,52735444.0,9967.3683,9.4281,3.8085,0.3
2010-01-31,34.68,22086606.0,8687.2991,8.2173,3.3194,0.3
2010-02-28,33.43,10082636.0,8425.5182,7.922,3.2001,0.3
2010-03-31,36.02,17384474.0,9077.2591,6.5664,1.4614,0.3
2010-04-30,37.73,14354866.0,9509.1356,6.8788,1.531,0.3
2010-05-31,31.14,10612112.0,7848.3741,5.6774,1.2636,0.3
2010-06-30,40.41,85204860.0,10201.4108,7.3673,1.6397,0.3
2010-07-31,44.51,41897028.0,11257.109,8.1143,1.8059,0.35
2010-08-31,51.27,65340716.0,12967.1494,9.3469,2.0802,0.35
2010-09-30,50.16,40208100.0,12701.2101,9.1452,2.0354,0.35
2010-10-31,48.95,27104434.0,12393.541,8.9237,1.9861,0.35
2010-11-30,44.65,15297594.0,11326.8902,8.1398,1.8116,0.35
2010-12-31,45.16,20373024.0,11478.0545,8.2335,1.8325,0.35
2011-01-31,50.86,33072240.0,12927.1638,9.273,2.0638,0.35
2011-02-28,45.47,10150928.0,11598.8805,8.2903,1.8451,0.35
2011-03-31,52.42,19563048.0,13388.7461,18.7887,1.5278,0.35
2011-04-30,51.05,12446764.0,14396.4186,18.2973,1.4879,0.35
2011-05-31,53.81,10256682.0,15174.0098,19.2856,1.5682,0.35
2011-06-30,54.02,6766588.0,15258.0557,19.3638,1.5746,0.35
2011-07-31,59.27,15849816.0,16751.8353,21.2454,1.7276,0.35
2011-08-31,46.7,6908650.0,13209.5326,16.7395,1.3612,0.35
2011-09-30,47.01,7115822.0,13297.6549,16.8512,1.3703,0.35
2011-10-31,50.33,6285020.0,14291.5202,18.0405,1.467,0.35
2011-11-30,48.67,6312392.0,13827.1989,17.443,1.4184,0.35
2011-12-31,45.63,2357370.0,12964.1055,16.3542,1.3299,0.35
2012-01-31,45.92,14052470.0,13048.2017,16.4603,1.3385,0.35
2012-02-29,51.8,20374772.0,14771.8779,18.5653,1.5097,0.35
2012-03-31,49.91,9741727.0,14244.8798,6.0943,1.2465,0.35
2012-04-30,53.34,2844874.0,15222.9927,6.5128,1.332,0.35
2012-05-31,73.81,46013878.0,21096.2168,9.0121,1.8432,0.35
2012-06-30,72.16,12299131.0,20624.2458,8.8105,1.802,0.35
2012-07-31,73.28,15070467.0,20969.3849,8.9474,1.83,0.7
2012-08-31,77.95,12474260.0,22317.6025,9.5181,1.9467,0.7
2012-09-30,77.14,7800686.0,22085.685,9.4192,1.9265,0.7
2012-10-31,77.49,13807925.0,22183.804,9.461,1.935,0.7
2012-11-30,80.38,11909036.0,23094.3148,9.8148,2.0074,0.7
2012-12-31,69.1,11266501.0,21291.2144,8.4377,1.7257,0.7
2013-01-31,70.01,8906489.0,21597.8149,8.548,1.7483,0.7
2013-02-28,67.24,4557158.0,20786.1803,8.2094,1.6791,0.7
2013-03-31,60.26,5892556.0,18645.2299,5.5485,1.1212,0.7
2013-04-30,64.77,5084663.0,20043.1401,5.9644,1.2053,0.7
2013-05-31,67.14,5773435.0,20805.1035,6.1825,1.2493,0.7
2013-06-30,76.02,10559065.0,23556.5905,7.0001,1.4145,0.7
2013-07-31,78.58,10209138.0,24348.2464,7.2354,1.4621,0.9
2013-08-31,82.25,5267474.0,25523.9491,7.5739,1.5305,0.9
2013-09-30,81.38,10667181.0,25253.2405,7.4936,1.5143,0.9
2013-10-31,91.54,12204159.0,28405.0615,8.4288,1.7032,0.9
2013-11-30,89.79,4721988.0,27863.6444,8.2682,1.6708,0.9
2013-12-31,106.8,15712927.0,33142.4612,9.8346,1.9873,0.9
2014-01-31,100.32,20815360.0,31131.4834,9.2379,1.8667,0.9
2014-02-28,105.71,8727503.0,32908.3568,9.7342,1.967,0.9
2014-03-31,100.23,6394866.0,31216.5141,7.5361,1.4581,0.9
2014-04-30,107.64,23126565.0,33525.9733,8.0936,1.5659,0.9
2014-05-31,99.33,11891409.0,30935.1094,7.4681,1.4449,0.9
2014-06-30,107.46,14776098.0,33606.1885,8.0795,1.5632,0.9
2014-07-31,96.86,17777398.0,30293.314,7.2831,1.4091,1.1
2014-08-31,92.32,8374417.0,28900.0488,6.9411,1.3429,1.1
2014-09-30,99.48,21094649.0,31225.4849,7.4798,1.4472,1.1
2014-10-31,103.53,12883740.0,32509.8324,7.7844,1.5061,1.1
2014-11-30,105.15,13870993.0,33034.8441,7.9062,1.5297,1.1
2014-12-31,126.59,51247557.0,39823.6647,9.5179,1.8415,1.1
2015-01-31,129.3,52358538.0,40676.3989,9.7217,1.8809,1.1
2015-02-28,131.7,39028583.0,41479.1274,9.9021,1.9158,1.1
2015-03-31,117.46,28397289.0,37070.8076,9.4042,1.7043,1.1
2015-04-30,65.49,37894087.0,20669.1877,5.2434,0.9502,1.1
2015-05-31,64.74,30222926.0,20457.6208,5.1836,0.9394,1.1
2015-06-30,58.04,46096549.0,18340.9757,4.6472,0.8422,1.1
2015-07-31,68.79,41028707.0,21737.4527,5.5078,0.9982,1.1
2015-08-31,63.9,38281062.0,20218.2639,5.1162,0.9272,1.1
2015-09-30,66.55,10983683.0,21056.1734,5.3282,0.9656,1.1
2015-10-31,85.24,24759790.0,26970.8289,6.8249,1.2368,1.1
2015-11-30,95.9,23980661.0,30391.1827,7.6781,1.3914,1.1
2015-12-31,105.28,18462458.0,33363.16,8.4289,1.5275,1.1
2016-01-31,89.29,9608184.0,28297.9628,7.1492,1.2956,1.1
2016-02-29,83.37,10313587.0,26425.3326,6.6753,1.2097,1.1
2016-03-31,92.13,17332427.0,29200.19,6.2715,1.249,1.1
2016-04-30,99.64,14110001.0,31580.0499,6.7827,1.3508,2.2
2016-05-31,112.79,16164811.0,35747.2735,7.6777,1.5291,2.2
2016-06-30,114.84,28431127.0,36399.0194,7.8177,1.5569,2.2
2016-07-31,81.85,43976083.0,25941.4607,5.5716,1.1096,2.2
2016-08-31,79.29,22382556.0,25131.7158,5.3977,1.075,2.2
2016-09-30,77.33,21621777.0,24509.5947,5.2641,1.0484,2.2
2016-10-31,89.2,30246530.0,28271.9459,6.0722,1.2093,2.2
2016-11-30,82.19,14555729.0,26050.085,5.595,1.1143,2.2
2016-12-31,83.72,12058427.0,26533.9569,5.6989,1.135,2.2
2017-01-31,81.1,18325001.0,25704.4622,5.5207,1.0995,2.2
2017-02-28,85.96,10470543.0,27244.9524,5.8516,1.1654,2.2
2017-03-31,80.82,18838491.0,25615.5877,6.502,0.9611,2.2
2017-04-30,80.01,14339146.0,25358.8393,6.4368,0.9515,1.1
2017-05-31,71.94,16526220.0,22801.2305,5.7876,0.8555,1.1
2017-06-30,76.49,20586376.0,24242.9714,6.1535,0.9096,1.1
2017-07-31,79.73,92661313.0,25269.9649,6.4142,0.9482,1.1
2017-08-31,72.63,23014580.0,23018.4792,5.8427,0.8637,2.2
2017-09-30,75.37,22390456.0,23887.4737,6.0633,0.8963,2.2
2017-10-31,92.38,32484385.0,29279.1895,7.4319,1.0986,2.2
2017-11-30,106.34,53938714.0,33703.1605,8.5548,1.2646,2.2
2017-12-31,112.63,40325892.0,35697.8978,9.0611,1.3394,2.2
2018-01-31,131.85,89963959.0,41790.734,10.6077,1.5681,2.2
2018-02-28,134.66,67027498.0,42679.4781,10.8333,1.6014,2.2
2018-03-31,134.94,47264738.0,42768.3526,13.5889,1.4075,2.2
2018-04-30,161.14,47085862.0,51073.1747,16.2276,1.6808,2.2
2018-05-31,172.67,44473896.0,54726.9014,17.3885,1.801,2.2
2018-06-30,169.33,43334088.0,53670.2831,17.0528,1.7662,2.2
2018-07-31,185.19,49797312.0,58696.6261,18.6498,1.9317,2.2
2018-08-31,188.81,38271238.0,59842.1188,19.0138,1.9694,2.4
2018-09-30,132.97,58452990.0,42146.2315,13.3912,1.387,2.4
2018-10-31,137.96,50400734.0,43726.2215,13.8932,1.439,2.4
2018-11-30,129.89,27634285.0,41168.6128,13.0806,1.3548,2.4
2018-12-31,135.9,32987879.0,43074.4756,13.6862,1.4175,2.4
2019-01-31,114.3,145861571.0,31334.6373,11.5106,1.1922,2.4
2019-02-28,108.7,74364235.0,29799.4319,10.9466,1.1338,2.4
2019-03-31,98.65,26538834.0,27044.2867,8.9682,1.5783,2.4
2019-04-30,93.6,16497627.0,25659.8604,8.5091,1.4975,2.4
2019-05-31,95.5,26294570.0,26180.7337,8.6818,1.5279,2.4
2019-06-30,86.3,16123627.0,23658.6106,7.8455,1.3807,2.4
2019-07-31,74.5,35527508.0,20466.3906,6.7727,1.1919,2.0
2019-08-31,65.95,34072162.0,18233.1601,5.9955,1.0551,2.0
2019-09-30,69.25,20363943.0,19145.5093,6.2955,1.1079,2.0
2019-10-31,66.6,8747891.0,18412.8652,6.0545,1.0655,2.0
2019-11-30,69.85,9449287.0,19325.0949,6.35,1.1175,2.0
2019-12-31,70.7,9206049.0,19560.2607,6.4273,1.1311,2.0
2020-01-31,79.35,19785159.0,21953.4185,7.2136,1.2695,2.0
2020-02-29,89.7,57841152.0,24820.7594,8.1545,1.4351,1.0
2020-03-31,61.0,21172807.0,16879.2232,7.5216,0.8919,1.0
2020-04-30,72.85,11645399.0,20158.2198,8.9827,1.0652,1.0
2020-05-31,74.5,25346894.0,20614.789,9.1862,1.0893,1.0
2020-06-30,89.45,35203659.0,24782.7953,11.0296,1.3079,1.0
2020-07-31,120.3,66106663.0,33330.7174,14.8335,1.759,1.0
2020-08-31,160.55,110388220.0,44490.2794,19.7965,2.3475,1.0
2020-09-30,195.2,58888701.0,54092.199,24.0691,2.8542,1.0
2020-10-31,178.75,30492098.0,49533.711,22.0407,2.6137,1.0
2020-11-30,197.6,18104876.0,54758.0234,24.365,2.8893,3.0
2020-12-31,246.9,66549341.0,68419.8177,30.4439,3.6102,3.0
2021-01-31,250.2,24338515.0,69358.8425,30.8508,3.6584,3.0
2021-02-28,226.9,24154937.0,62916.2125,27.9778,3.3177,2.0
2021-03-31,253.05,30363673.0,70167.2436,21.9471,3.2188,2.0
2021-04-30,245.7,24099034.0,68129.1908,21.3096,3.1253,2.0
2021-05-31,316.5,50057117.0,87855.161,27.4501,4.0259,2.0
2021-06-30,399.6,71908095.0,110922.3454,34.6574,5.0829,2.0
2021-07-31,401.65,65713916.0,111491.3935,34.8352,5.109,5.0
2021-08-31,417.1,49425415.0,115807.8988,36.1752,5.3055,5.0
2021-09-30,409.65,44710298.0,113739.4048,35.5291,5.2107,5.0
2021-10-31,406.45,38709124.0,112850.9242,35.2515,5.17,5.0
2021-11-30,474.95,114145650.0,131986.3889,41.1925,6.0413,4.0
2021-12-31,544.7,113729948.0,151657.6476,47.242,6.9286,4.0
2022-01-31,475.6,84976360.0,132579.7218,41.2489,6.0496,4.0
2022-02-28,407.65,51249755.0,113637.7704,35.3556,5.1853,4.0
2022-03-31,454.95,59264991.0,127156.7425,27.3572,4.9267,4.0
2022-04-30,413.9,73112149.0,115683.4283,24.8888,4.4822,4.0
2022-05-31,370.6,51174948.0,103665.5595,22.285,4.0133,4.0
2022-06-30,353.25,44707314.0,98911.9153,21.2417,3.8254,4.0
2022-07-31,336.0,57843491.0,94081.8218,20.2044,3.6386,4.5
2022-08-31,321.35,49790222.0,89979.7424,19.3235,3.48,4.5
2022-09-30,282.45,54932542.0,76884.4214,16.9844,3.0587,4.5
2022-10-31,270.85,41962344.0,73726.8385,16.2868,2.9331,4.5
2022-11-30,305.25,55092230.0,83330.4341,18.3554,3.3056,4.5
2022-12-31,298.75,68963568.0,81642.5915,17.9645,3.2352,4.5
2023-01-31,301.95,42000130.0,82559.3118,18.1569,3.2699,4.5
2023-02-28,275.25,56226593.0,75658.1181,16.5514,2.9807,4.5
2023-03-31,261.15,31600145.0,71782.4433,21.8353,2.9319,4.5
2023-04-30,272.95,23674805.0,75025.9158,22.8219,3.0644,4.5
2023-05-31,343.5,109752506.0,94516.9327,28.7207,3.8565,4.5
2023-06-30,358.9,55884537.0,98754.3731,30.0084,4.0294,4.5
2023-07-31,427.25,84091523.0,117656.936,35.7232,4.7967,3.5
2023-08-31,509.7,54381555.0,140362.1774,42.6171,5.7224,3.5
2023-09-30,483.35,45747048.0,133189.5001,40.4139,5.4266,3.5
2023-10-31,547.65,53125305.0,150907.6853,45.7901,6.1485,3.5
2023-11-30,630.35,53535107.0,173696.0823,52.7048,7.077,4.5
2023-12-31,721.05,47945026.0,198828.7775,60.2885,8.0952,4.5
2024-01-31,848.45,62815117.0,233959.1932,70.9406,9.5256,4.5
2024-02-29,776.1,34621909.0,214155.0324,64.8913,8.7133,4.5
2024-03-31,742.0,28080481.0,204745.5664,32.9193,6.7259,4.5
2024-04-30,650.1,46361956.0,179479.5566,28.8421,5.8929,4.5
2024-05-31,604.65,59119327.0,166931.7242,26.8256,5.4809,4.5
2024-06-30,690.3,67838773.0,190577.9695,30.6256,6.2573,4.5
2024-07-31,675.65,82241294.0,186682.6652,29.9756,6.1245,6.5
2024-08-31,670.55,129488736.0,185273.5309,29.7493,6.0783,6.5
2024-09-30,601.9,76663145.0,166305.478,26.7036,5.456,6.5
2024-10-31,550.1,63419228.0,152158.0682,24.4055,4.9864,6.5
2024-11-30,590.65,33407370.0,163374.2283,26.2045,5.354,6.5
2024-12-31,560.35,29804026.0,154993.2258,24.8602,5.0793,6.5
2025-01-31,534.6,37648012.0,148328.695,23.7178,4.8459,6.5
2025-02-28,424.05,29091798.0,117655.7859,18.8132,3.8438,6.5
2025-03-31,387.7,42865035.0,107732.9877,20.7994,3.0974,6.5
2025-04-30,390.2,41145475.0,108427.6807,20.9335,3.1173,6.5
2025-05-31,400.5,49989881.0,111289.8158,21.4861,3.1996,6.5
2025-06-30,433.5,50270340.0,120465.8014,23.2564,3.4633,6.5
2025-07-31,391.5,37359041.0,108838.1248,21.0032,3.1277,6.5
2025-08-31,368.1,16377337.0,102332.8576,19.7479,2.9408,6.5
2025-09-30,352.95,16443296.0,98311.7321,18.9351,2.8197,6.5
2025-10-31,371.6,62553891.0,103506.558,19.9356,2.9687,6.5
2025-11-30,380.2,26605669.0,105902.0273,20.397,3.0374,6.5
2025-12-31,433.3,52481806.0,120756.4572,23.2457,3.4617,6.5
2026-01-31,418.05,21197943.0,116506.4318,22.4276,3.3398,6.5
2026-02-28,390.1,56475740.0,109035.4029,20.9281,3.1165,6.5
2026-03-31,378.65,3766387.0,105835.0542,20.3138,3.0251,6.5
