DIXON IN Equity,price,volume,mc,pe,bm,div
2017-09-30,529.75,49595645.0,29997.3357,57.4192,14.7652,0.0
2017-10-31,544.86,7224940.0,30852.9464,59.057,15.1863,0.0
2017-11-30,703.93,14761295.0,39860.3565,76.2985,19.6199,0.0
2017-12-31,838.19,12330275.0,47462.8901,90.8509,23.362,0.0
2018-01-31,750.07,6791570.0,42473.055,81.2996,20.9059,0.0
2018-02-28,690.95,5353185.0,39125.3581,74.8916,19.2581,0.0
2018-03-31,658.21,2402080.0,37271.4407,60.3752,11.8332,0.0
2018-04-30,724.9,4515695.0,41047.7923,66.4924,13.0321,0.0
2018-05-31,650.29,2761810.0,36822.9671,59.6487,11.6908,0.0
2018-06-30,586.01,1836140.0,33183.0829,53.7525,10.5352,0.0
2018-07-31,550.16,1502660.0,31153.0603,50.4641,9.8907,0.4
2018-08-31,601.72,6739460.0,34072.6688,55.1935,10.8176,0.4
2018-09-30,522.36,2751130.0,29578.8727,47.9141,9.3909,0.4
2018-10-31,418.88,4707305.0,23719.2706,38.4223,7.5305,0.4
2018-11-30,407.61,4284625.0,23081.1017,37.3886,7.3279,0.4
2018-12-31,412.58,1441305.0,23362.5302,37.8444,7.4173,0.4
2019-01-31,453.71,1373935.0,25691.5352,41.6171,8.1567,0.4
2019-02-28,441.04,491425.0,24974.0907,40.455,7.9289,0.4
2019-03-31,470.2,1028450.0,26625.2889,42.0272,7.0397,0.4
2019-04-30,469.72,963960.0,26598.1087,41.9843,7.0325,0.4
2019-05-31,489.66,673505.0,27727.2203,43.7665,7.331,0.4
2019-06-30,453.73,692835.0,25692.6677,40.5551,6.7931,0.4
2019-07-31,425.89,1884320.0,24116.215,38.0667,6.3763,0.4
2019-08-31,532.04,2317155.0,30127.0071,47.5545,7.9655,0.4
2019-09-30,580.81,1326480.0,32888.6305,51.9137,8.6957,0.4
2019-10-31,603.99,1532400.0,34201.2086,53.9855,9.0427,0.4
2019-11-30,661.49,8203145.0,38250.1334,59.125,9.9036,0.4
2019-12-31,759.86,6362970.0,43958.4367,67.9174,11.3764,0.4
2020-01-31,930.85,9006880.0,53850.3287,83.2008,13.9364,0.4
2020-02-29,765.61,9235665.0,44291.0783,68.4314,11.4624,0.4
2020-03-31,715.97,8297680.0,41419.3693,34.3725,7.6514,1.2
2020-04-30,914.28,4969390.0,52891.098,43.893,9.7707,1.2
2020-05-31,975.16,4514020.0,56413.006,46.8157,10.4213,1.2
2020-06-30,1151.78,8371575.0,66631.285,55.295,12.3088,1.2
2020-07-31,1526.74,8816305.0,88322.9854,73.2961,16.3158,0.8
2020-08-31,1618.99,9880915.0,93659.7129,77.7249,17.3017,0.8
2020-09-30,1752.41,10389660.0,101376.9185,84.1302,18.7275,0.8
2020-10-31,1859.86,5838505.0,107592.901,89.2886,19.8758,0.8
2020-11-30,2375.97,6201845.0,139077.404,114.0662,25.3913,0.8
2020-12-31,2689.71,6059970.0,157480.7856,129.1283,28.7442,0.8
2021-01-31,2825.5,8308135.0,165431.2026,135.6473,30.1953,0.8
2021-02-28,3969.78,10056610.0,232428.0585,190.5822,42.4239,0.8
2021-03-31,3672.15,9178832.0,215075.4533,133.5813,29.1707,0.8
2021-04-30,4201.8,7667361.0,246096.7116,152.8483,33.3781,0.8
2021-05-31,4028.8,4144125.0,235964.2134,146.5551,32.0038,0.0
2021-06-30,4421.05,6001775.0,258938.0425,160.8239,35.1198,0.0
2021-07-31,4304.6,4670709.0,252117.6455,156.5879,34.1947,0.0
2021-08-31,4160.4,5714634.0,244015.1775,151.3423,33.0492,0.0
2021-09-30,4611.9,8133192.0,270496.4901,167.7665,36.6358,1.0
2021-10-31,4993.55,16127552.0,292880.9705,181.6497,39.6676,1.0
2021-11-30,5100.7,8685529.0,302558.1454,185.5475,40.5187,1.0
2021-12-31,5509.55,9128446.0,326947.358,200.4202,43.7666,1.0
2022-01-31,4407.25,8348771.0,261534.743,160.3219,35.0101,1.0
2022-02-28,4318.25,7490695.0,256253.3108,157.0844,34.3031,1.0
2022-03-31,4308.8,6741299.0,255692.5295,133.3581,25.6519,1.0
2022-04-30,4396.25,4497144.0,260881.9817,136.0647,26.1725,1.0
2022-05-31,3858.7,13562069.0,228982.7246,119.4274,22.9722,1.0
2022-06-30,3575.0,7225755.0,212147.4176,110.6469,21.2833,1.0
2022-07-31,3699.9,6432004.0,219559.2253,114.5125,22.0268,1.0
2022-08-31,4103.7,7030234.0,243521.4987,127.0102,24.4308,2.0
2022-09-30,4371.6,8138910.0,259419.203,135.3018,26.0257,2.0
2022-10-31,4516.6,3645373.0,268023.7836,139.7895,26.889,2.0
2022-11-30,4251.9,3306595.0,253156.1914,131.597,25.3131,2.0
2022-12-31,3904.6,3972790.0,232558.6203,120.848,23.2455,2.0
2023-01-31,2681.55,10598016.0,159713.5605,82.9944,15.9642,2.0
2023-02-28,2890.65,9406769.0,172167.591,89.4661,17.2091,2.0
2023-03-31,2861.3,6635559.0,170419.5001,66.5419,13.2631,2.0
2023-04-30,2915.3,5712103.0,173635.749,67.7977,13.5135,2.0
2023-05-31,3878.75,15708305.0,231018.99,90.2035,17.9794,2.0
2023-06-30,4388.6,18135176.0,261385.7401,102.0605,20.3427,2.0
2023-07-31,4122.0,8284226.0,245507.0001,95.8605,19.1069,2.0
2023-08-31,5003.85,21234286.0,298030.1316,116.3686,23.1946,2.0
2023-09-30,5289.25,9510858.0,315051.611,123.0058,24.5176,3.0
2023-10-31,5101.6,9258555.0,303874.3297,118.6419,23.6477,3.0
2023-11-30,5510.6,6629227.0,329525.807,128.1535,25.5436,3.0
2023-12-31,6566.75,16821633.0,392778.2983,152.7151,30.4392,3.0
2024-01-31,5991.1,7806732.0,358346.8326,139.3279,27.7709,3.0
2024-02-29,6683.85,9091480.0,399838.5677,155.4384,30.982,3.0
2024-03-31,7479.25,5260360.0,447420.6644,121.3398,26.3988,3.0
2024-04-30,8341.75,8417442.0,499016.7901,135.3326,29.4431,3.0
2024-05-31,9396.35,11034208.0,562231.4949,152.4419,33.1655,3.0
2024-06-30,11971.3,9998113.0,716303.8728,194.2166,42.254,3.0
2024-07-31,12106.45,11508591.0,724390.5859,196.4092,42.731,3.0
2024-08-31,13170.95,15218759.0,788104.8009,213.6792,46.4883,3.0
2024-09-30,13802.95,11963846.0,825921.529,223.9325,48.719,5.0
2024-10-31,14061.6,15181184.0,841398.2643,228.1287,49.632,5.0
2024-11-30,15807.4,11135041.0,949500.3295,256.4517,55.794,5.0
2024-12-31,17936.3,10508994.0,1077455.513,290.9899,63.3081,5.0
2025-01-31,14985.95,12599528.0,900224.3743,243.1249,52.8946,5.0
2025-02-28,13935.85,6335590.0,837255.0677,226.0886,49.1881,5.0
2025-03-31,13179.5,7108577.0,791814.1459,64.0715,26.3733,5.0
2025-04-30,16452.0,10453373.0,991013.991,79.9806,32.9219,5.0
2025-05-31,14692.0,11125426.0,888066.9903,71.4244,29.4,5.0
2025-06-30,14983.0,11862979.0,906137.0195,72.8391,29.9823,5.0
2025-07-31,16841.0,10665189.0,1018912.717,81.8717,33.7003,5.0
2025-08-31,16690.0,5369312.0,1009776.928,81.1376,33.3981,5.0
2025-09-30,16322.0,5025926.0,987704.0075,79.3486,32.6617,8.0
2025-10-31,15494.0,5783169.0,937598.6945,75.3233,31.0048,8.0
2025-11-30,14601.0,4496948.0,885386.8706,70.982,29.2179,8.0
2025-12-31,12102.0,14194578.0,734418.8618,58.8333,24.2171,8.0
2026-01-31,10446.0,16318810.0,633923.2714,50.7827,20.9033,8.0
2026-02-28,10528.0,16501346.0,640122.3295,51.1813,21.0674,8.0
2026-03-31,10190.0,2294631.0,619571.2897,49.5382,20.3911,8.0
