INDUSTOW IN Equity,price,volume,mc,pe,bm,div
2012-12-31,193.7,57919602.0,365830.1147,,2.0717,0.0
2013-01-31,204.25,42433033.0,385755.2964,,2.1846,0.0
2013-02-28,191.9,16833368.0,362430.5576,,2.0525,0.0
2013-03-31,178.95,15104510.0,337972.633,31.887,1.9659,0.0
2013-04-30,177.8,11634594.0,335800.6938,31.6821,1.9533,0.0
2013-05-31,170.5,2147055.0,322013.6012,30.3813,1.8731,0.0
2013-06-30,152.9,7522938.0,288773.4875,24.3471,1.5976,3.0
2013-07-31,148.8,5866755.0,281051.5582,23.6943,1.5548,3.0
2013-08-31,139.2,6830498.0,262925.4187,22.1656,1.4545,3.0
2013-09-30,156.4,12566120.0,295415.8689,24.7155,1.6135,3.0
2013-10-31,164.85,7703746.0,311384.7464,26.0509,1.7007,3.0
2013-11-30,158.15,5577402.0,298729.1334,24.9921,1.6316,3.0
2013-12-31,168.55,13344659.0,318376.3418,23.8875,1.7068,3.0
2014-01-31,171.95,14727651.0,324799.6126,24.3693,1.7412,3.0
2014-02-28,179.8,25521994.0,339628.9872,25.4819,1.8207,3.0
2014-03-31,203.4,32264827.0,384209.2916,25.3111,2.1304,3.0
2014-04-30,215.65,16373776.0,407427.7924,26.8355,2.2587,3.0
2014-05-31,231.5,14308014.0,437433.1818,28.8079,2.4247,3.0
2014-06-30,255.6,14275706.0,483094.234,29.7486,2.642,3.0
2014-07-31,256.0,17362912.0,483850.25,29.7952,2.6461,8.9
2014-08-31,263.55,36512717.0,498159.3339,30.6739,2.7242,8.9
2014-09-30,294.75,35614213.0,557160.6143,30.7544,3.1585,8.9
2014-10-31,294.45,18161655.0,556639.9689,30.7231,3.1552,8.9
2014-11-30,300.15,25611944.0,567440.9762,31.3178,3.2163,8.9
2014-12-31,336.9,32699995.0,636927.2985,33.3796,3.5225,8.9
2015-01-31,361.85,19824168.0,684458.2686,35.8516,3.7834,8.9
2015-02-28,367.55,109060036.0,695244.6942,36.4163,3.843,8.9
2015-03-31,385.0,51916408.0,729101.1755,36.531,4.2838,8.9
2015-04-30,401.3,53849588.0,759969.6149,38.0776,4.4652,8.9
2015-05-31,478.85,115326510.0,908043.1615,45.436,5.328,8.9
2015-06-30,447.0,53686555.0,847649.3412,42.8571,4.6467,8.9
2015-07-31,447.65,34792998.0,848897.5693,42.9195,4.6535,4.4
2015-08-31,399.75,59769058.0,758077.2238,38.3269,4.1555,6.5
2015-09-30,355.2,50752335.0,673696.1156,32.026,3.721,6.5
2015-10-31,388.95,46953812.0,737708.6266,35.069,4.0745,6.5
2015-11-30,384.6,32577510.0,729458.1252,34.6768,4.0289,6.5
2015-12-31,428.1,37508101.0,811963.1394,38.8511,4.3613,6.5
2016-01-31,361.2,39536146.0,685076.1176,32.7797,3.6797,6.5
2016-02-29,356.75,43780664.0,676635.9495,32.3759,3.6344,6.5
2016-03-31,381.95,40233463.0,724431.9577,32.1995,3.9712,6.5
2016-04-30,374.95,39277678.0,711155.2887,31.6093,3.8984,6.5
2016-05-31,374.55,35758697.0,710396.6219,31.5756,3.8943,6.5
2016-06-30,345.05,80435097.0,654444.9457,25.5366,3.4502,6.5
2016-07-31,395.4,35799392.0,749942.1287,29.2629,3.9537,6.5
2016-08-31,350.75,43478401.0,648750.0601,25.9584,3.5072,3.0
2016-09-30,365.3,39148144.0,675661.8588,25.1376,3.9697,3.0
2016-10-31,347.5,53153004.0,642738.8336,23.9127,3.7762,3.0
2016-11-30,375.45,45099541.0,694435.3815,25.8361,4.08,3.0
2016-12-31,343.45,42157194.0,635247.9206,22.4742,3.608,3.0
2017-01-31,293.8,43400664.0,543414.8757,19.2252,3.0864,3.0
2017-02-28,284.25,102877917.0,525751.1179,18.6003,2.9861,3.0
2017-03-31,325.9,495895214.0,602787.2975,22.1369,3.8891,15.0
2017-04-30,354.7,58687941.0,656056.0123,24.0932,4.2328,15.0
2017-05-31,366.6,59191059.0,678066.3494,24.9015,4.3748,15.0
2017-06-30,374.55,46050844.0,692770.7342,26.1502,4.296,15.0
2017-07-31,401.4,50352225.0,742432.7131,28.0249,4.604,19.0
2017-08-31,375.2,153494731.0,693972.9795,26.1956,4.3035,16.0
2017-09-30,398.4,55099476.0,736883.8887,29.2211,4.6515,16.0
2017-10-31,442.15,113827283.0,817804.2454,32.43,5.1623,16.0
2017-11-30,383.7,239340162.0,709694.6675,28.1429,4.4798,16.0
2017-12-31,378.75,54111379.0,700539.1069,28.1808,4.2735,16.0
2018-01-31,351.55,80774525.0,650229.7638,26.157,3.9666,16.0
2018-02-28,346.7,119174649.0,641259.1789,25.7961,3.9119,16.0
2018-03-31,336.15,93502204.0,621745.8119,24.9185,3.665,4.0
2018-04-30,313.1,74304738.0,579112.3418,23.2098,3.4137,4.0
2018-05-31,298.65,76987437.0,552385.5027,22.1386,3.2561,4.0
2018-06-30,300.55,59386258.0,555899.7583,22.5148,3.164,4.0
2018-07-31,286.65,52219214.0,530190.2037,21.4735,3.0177,14.0
2018-08-31,286.9,58467017.0,530652.6058,21.4922,3.0203,14.0
2018-09-30,262.95,40772309.0,486354.4883,20.0114,3.2391,14.0
2018-10-31,269.25,66684571.0,498007.0202,20.4909,3.3167,14.0
2018-11-30,256.75,39542491.0,474886.9172,19.5396,3.1628,21.5
2018-12-31,259.0,44634944.0,479048.5357,19.2122,3.4264,21.5
2019-01-31,292.25,112602406.0,540548.0099,21.6787,3.8663,21.5
2019-02-28,293.65,85240963.0,543137.4614,21.7825,3.8848,21.5
2019-03-31,313.4,372880403.0,579667.2243,23.2355,3.989,21.5
2019-04-30,262.55,69096515.0,485614.645,19.4655,3.3418,21.5
2019-05-31,269.0,62722967.0,497544.6182,19.9437,3.4239,29.0
2019-06-30,267.05,45086840.0,493937.8821,17.9977,3.8702,29.0
2019-07-31,245.75,51495930.0,454541.2265,16.5622,3.5615,15.0
2019-08-31,250.45,52918917.0,463234.3852,16.879,3.6297,18.65
2019-09-30,257.3,56122322.0,475904.2017,15.3118,3.7257,18.65
2019-10-31,189.7,167194569.0,350870.6843,11.289,2.7469,18.65
2019-11-30,276.3,387994343.0,511046.7584,16.4425,4.0008,11.15
2019-12-31,252.5,286881167.0,467026.0821,14.3336,3.6133,13.9
2020-01-31,248.3,173552013.0,459257.7275,14.0951,3.5532,13.9
2020-02-29,214.45,195783152.0,396648.4884,12.1736,3.0688,13.9
2020-03-31,160.0,178734136.0,295937.3194,8.9691,2.1853,13.9
2020-04-30,174.4,117145534.0,322571.6781,9.7763,2.382,13.9
2020-05-31,229.95,266420076.0,425317.4162,12.8903,3.1407,10.5
2020-06-30,221.5,282033968.0,409688.2265,13.1501,3.0412,10.5
2020-07-31,192.1,199050012.0,355309.7441,11.4047,2.6375,10.5
2020-08-31,198.55,145148553.0,367239.7172,11.7876,2.7261,9.15
2020-09-30,175.3,516203952.0,324236.3255,11.2415,2.3578,9.15
2020-10-31,185.55,181348853.0,343194.8021,11.8988,2.4957,9.15
2020-11-30,218.6,259426355.0,589113.2173,14.0182,2.9402,9.15
2020-12-31,229.9,398496172.0,619566.0048,14.1774,3.2019,6.4
2021-01-31,231.5,109637198.0,623877.9039,14.276,3.2241,6.4
2021-02-28,257.8,186617179.0,694754.7457,15.8979,3.5904,24.22
2021-03-31,245.0,90144713.0,660259.5527,13.7896,4.1586,24.22
2021-04-30,252.5,67567414.0,680471.5799,14.2117,4.2859,24.22
2021-05-31,242.3,47836537.0,652983.2143,13.6376,4.1128,20.12
2021-06-30,238.65,63964191.0,643146.6945,12.4219,3.7254,20.12
2021-07-31,222.1,93870900.0,598545.4966,11.5605,3.4671,20.12
2021-08-31,215.35,94103792.0,580354.6722,11.2091,3.3617,20.12
2021-09-30,308.7,301891312.0,831927.0365,14.6707,4.4246,20.12
2021-10-31,271.5,149727440.0,731675.3819,12.9028,3.8915,17.82
2021-11-30,284.45,87689394.0,766574.8154,13.5182,4.0771,17.82
2021-12-31,248.3,82133463.0,669152.8447,11.3219,3.2893,17.82
2022-01-31,252.55,67985844.0,680606.3267,11.5157,3.3456,17.82
2022-02-28,215.1,187461924.0,579680.9379,9.808,2.8495,17.82
2022-03-31,222.05,128805877.0,598410.7497,9.385,2.7016,0.0
2022-04-30,209.0,61995526.0,563241.8225,8.8335,2.5428,0.0
2022-05-31,201.8,96992757.0,543838.2765,8.5292,2.4552,11.0
2022-06-30,209.1,108907989.0,563511.3162,10.3617,2.8708,11.0
2022-07-31,222.55,60401235.0,599758.2182,11.0282,3.0555,11.0
2022-08-31,199.8,84754634.0,538448.4026,9.9009,2.7431,11.0
2022-09-30,197.45,56953289.0,532115.3008,11.1997,2.5989,11.0
2022-10-31,185.5,43739501.0,499910.8042,10.5218,2.4416,11.0
2022-11-30,200.4,41183135.0,540065.3648,11.367,2.6377,11.0
2022-12-31,190.45,33808937.0,513250.7421,20.7643,2.6005,11.0
2023-01-31,153.3,111018217.0,413133.8344,16.7139,2.0932,11.0
2023-02-28,170.9,161801842.0,460564.7248,18.6328,2.3335,11.0
2023-03-31,143.0,73697510.0,385375.9838,18.8854,1.8256,11.0
2023-04-30,155.0,144412256.0,417715.2273,20.4702,1.9788,11.0
2023-05-31,153.85,231756294.0,414616.0498,20.3183,1.9641,11.0
2023-06-30,164.25,255971826.0,442643.394,15.2033,1.9731,11.0
2023-07-31,172.0,186912509.0,463529.1554,15.9206,2.0662,0.0
2023-08-31,175.2,162677543.0,472152.9536,16.2168,2.1047,0.0
2023-09-30,191.7,251768503.0,516619.4133,15.4927,2.1799,0.0
2023-10-31,172.4,154735886.0,464607.1302,13.9329,1.9605,0.0
2023-11-30,184.4,128140501.0,496946.3736,14.9027,2.0969,0.0
2023-12-31,199.05,231451189.0,536427.1999,9.6059,2.1282,0.0
2024-01-31,221.95,403336738.0,598141.2561,10.711,2.3731,0.0
2024-02-29,252.8,939131114.0,681280.061,12.1998,2.7029,0.0
2024-03-31,291.15,377186178.0,784630.893,12.991,2.9019,0.0
2024-04-30,354.8,449332221.0,956163.6299,15.8311,3.5363,0.0
2024-05-31,348.15,315897143.0,938242.2991,15.5344,3.47,0.0
2024-06-30,375.3,1347872410.0,1011409.837,15.2809,3.4944,0.0
2024-07-31,433.15,490649962.0,1167311.94,17.6364,4.033,0.0
2024-08-31,458.5,208848584.0,1235628.592,18.6686,4.269,0.0
2024-09-30,392.55,322310330.0,1035610.79,13.931,3.6467,0.0
2024-10-31,340.55,167979699.0,898426.3269,12.0856,3.1636,0.0
2024-11-30,349.35,147596766.0,921642.1592,12.3979,3.2454,0.0
2024-12-31,341.8,226594093.0,901724.0303,9.0812,2.7865,0.0
2025-01-31,347.2,219030715.0,915970.1092,9.2247,2.8306,0.0
2025-02-28,323.35,123906207.0,853049.9275,8.591,2.6361,0.0
2025-03-31,334.3,109932136.0,881937.8097,8.9127,2.7138,0.0
2025-04-30,408.2,177207674.0,1076898.037,10.8829,3.3137,0.0
2025-05-31,384.15,184528317.0,1013450.223,10.2418,3.1185,0.0
2025-06-30,421.1,126446168.0,1110930.337,11.397,3.2384,0.0
2025-07-31,363.0,115104125.0,957653.0808,9.8246,2.7916,0.0
2025-08-31,338.6,157487670.0,893281.9095,9.1642,2.6039,0.0
2025-09-30,342.9,239938288.0,904626.0094,9.6619,2.5058,0.0
2025-10-31,363.6,158415794.0,959235.9784,10.2451,2.6571,0.0
2025-11-30,401.05,130788559.0,1058035.174,11.3004,2.9307,0.0
2025-12-31,418.75,142563247.0,1104730.655,15.4863,2.9178,0.0
2026-01-31,444.3,195370399.0,1172135.713,16.4312,3.0958,0.0
2026-02-28,454.95,137929550.0,1200232.146,16.8251,3.17,0.0
2026-03-31,450.1,11869647.0,1187437.073,16.6457,3.1362,0.0
